Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;81;Для лица;Комплекс-актив с ретинолом(био эссенс крем-сыворотка против морщин, + капсулы с ретинолом) reatment Set;Renova Dual Action Treatment Se;50 мл + 42шт;;Anna lotan;RENOVA;1292000;1808800;;785set;;;;;;
;82;Для лица;Эссенция против морщин с пептидами;Renova Recharging Bio Peptide Essence;50;;Anna lotan;RENOVA;710600;994800;;785;;;;;;
;83;Для лица;Солнцезащитный крем  для сухой кожи c SPF19;Protective Daily Moisturizer SPF19;70;;Anna lotan;RENOVA;209000;292600;;069;;;;;;
;84;Для лица;Крем дневной солнцезащитный для сухой кожи с SPF30;Daytime Protection SPF30;50;;Anna lotan;RENOVA;364800;510700;;793;;;;;;
;85;Для лица;"Гель ""Япония"" натуральный демакияж";Japanese Gel Natural Eye Makeup Remover;40;;Anna lotan;GREENS;427500;598500;;413;;;;;;
;86;Для лица;Деликатный мусс для очищения кожи;GREENS Extra Mild Cleansing Foam;200;;Anna lotan;GREENS;298300;417600;;405;;;;;;
;87;Для лица;Отшелушивающий скраб; Natural Peeling;150;;Anna lotan;GREENS;497800;696900;;411;;;;;;
;88;Для лица;Нежный крем для кожи вокруг глаз;GREENS Tender Eye Contour Cream;30;;Anna lotan;GREENS;608000;851200;;403;;;;;;
;89;Для лица;Крем ночной;GREENS Replenishing Balm Night Time;50;;Anna lotan;GREENS;570000;798000;;404;;;;;;
;90;Для лица;Комплекс-актив с ретинолом Greens (жирный ночной крем, 50мл +капсулы с ретинолом, 42шт);Greens Dual Action Treatment Set 50ml+ 42pcs;50 мл + 42 шт;;Anna lotan;GREENS;1280600;1792800;;404set;;;;;;
;91;Для лица;Натуральная эссенция;Pure Essence Skin Supplement;30;;Anna lotan;GREENS;760000;1064000;;401;;;;;;
;92;Для лица;Лифтинг - флюид;GREENS Vital Lifting Fluid;50;;Anna lotan;GREENS;722000;1010800;;402;;;;;;
;93;Для лица;"Лифтинг-крем против морщин ""Пролин"" ";Proligne Lifting Anti Wrinkle Cream;50;;Anna lotan;GREENS;387600;542600;;414;;;;;;
;94;Для лица;"Лифтинг-крем против морщин ""Пролин"" ";Proligne Lifting Anti Wrinkle Cream;125;93;Anna lotan;GREENS;608000;851200;;4414;;;;;;
;95;Для лица;"Крем против морщин ""ГРИНС"" ";Wrinkle Relaxing Balm;30;;Anna lotan;GREENS;537700;752800;;407;;;;;;
;96;Для лица;"Крем дневной увлажняющий тонирующий с SPF30 ""Камелия""";GREENS Camellia Tinted Day Cream SPF 30+;50;;Anna lotan;GREENS;285000;399000;;425;;;;;;
;97;Для лица;"Крем дневной увлажняющий тонирующий с SPF30 ""Камелия""";GREENS Camellia Tinted Day Cream SPF 30+;250;96;Anna lotan;GREENS;???;???;;4425;;;;;;
;98;Для лица;"Активная подтягивающая сыворотка ""ИНСТАНТ ЛИФТ""";Instant Lift;30;;Anna lotan;GREENS;400900;561300;;408;;;;;;
;99;Для лица;"Маска ""Кресс-салат"" для нормальной/сухой кожи";Garden Cress Mask;70;;Anna lotan;GREENS;300200;420300;;417;;;;;;
;100;Для лица;Очищающая пенка с маслом облепихи сибирской;Liquid Gold Foam Wash;50;;Anna lotan;LIQUID GOLD;209000;292600;;139;;;;;;
;101;Для лица;Очищающая пенка с маслом облепихи сибирской;Liquid Gold Foam Wash;200;100;Anna lotan;LIQUID GOLD;281200;393700;;4139;;;;;;
;102;Для лица;Молочко очищающее с маслом облепихи сибирской;Liquid Gold Cleansing Milk;200;;Anna lotan;LIQUID GOLD;271700;380400;;235;;;;;;
;103;Для лица;Гель очищающий;Liquid Gold Facial Foaming Ge;200;;Anna lotan;LIQUID GOLD;254600;356400;;164;;;;;;
;104;Для лица;"Лосьон для лица ""ЗОЛОТОЙ""";Liquid Gold Facial Toner;200;;Anna lotan;LIQUID GOLD;271700;380400;;236;;;;;;
;105;Для лица;"Активный лосьон-гель для лица ""ЗОЛОТОЙ""";Liquid Gold Revitalizing AHA Face Lotion;100;;Anna lotan;LIQUID GOLD;399000;558600;;287;;;;;;
;106;Для лица;"Скраб ""Золотой"" с морскими водорослями и маслом облепихи сибирской";Golden Marine Scrub;30;;Anna lotan;LIQUID GOLD;292600;409600;;148;;;;;;
;107;Для лица;"Флюид ""Золотые капли""";Liquid Gold Marine Fluid;30;;Anna lotan;LIQUID GOLD;326800;457500;;147;;;;;;
;108;Для лица;"Масло ""Золотые капли""";Liquid Gold Siberian Seabickthorn Oil;30;;Anna lotan;LIQUID GOLD;419900;587900;;123;;;;;;
