N по каталогу;Название товара рус;Название товара eng;;Бренд;Линия;;Для лица;Для тела;Для волос;Маникюр;Педикюр;Депиляция;Аксессуары;Для жирной кожи;для сухой кожи;для возрастной кожи;для чувствительной кожи;для комбинированной кожи;для деликатной;для нормальной;для проблемной кожи; Дневной;ночной;увлажнение;питание;очистка;омоложение;против морщин;отшелушивание;пилинг;скраб;смягчающее;успокаивающее
62;Энзимный гоммаж-пилинг с экстрактом жемчуга;;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;
63;Микрокристаллическая дермабразия Пилинг;;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;
64;Крем с липозомами;Lipo Soft Cream;;Anna lotan;CLASSIC;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;
65;"Маска ""Жемчужная"" для нормальной/сухой кожи";Pearl Mask;;Anna lotan;CLASSIC;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;
66;"Сыворотка ""Гранат"" с витамином С";CLASSIC Pomegrante Serum with Ester C;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
67;"Сыворотка ""Гранат"" с витамином С";CLASSIC Pomegrante Serum with Ester C;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Защитное масло дневное и ночное с SPF5;Classic Day & Night Protective Butter;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Защитный дневной крем с SPF30 для всех типов кожи;White Pearl Protective Day Cream;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Очищающая пенка с экстрактом зеленого чая;Green Tea Cleansing Foam ;;Anna lotan;LIGHTENING CARE  C WHITE;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
71;"Отшелушивающий скраб для лица ""Фреш С""";Exfoliating Facial Scrub;;Anna lotan;LIGHTENING CARE  C WHITE;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;
72;Маска для лица ;C White Lightening Care Fresh Sprouts Facial Mask;;Anna lotan;LIGHTENING CARE  C WHITE;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
