Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;11;Косметика;Бальзам для чувствительной кожи;Barbados Naturally Preserved Pure Balm;150;10;Anna lotan;Barbados;783 600;1 095 900;;4144;;(натуральный сок алоэ, масло оливы и жожоба, cimicifuga (клопогон кистевидный), сквалан, экстракт жимолости, витамин Е, молочная кислота). Натуральная эмульсия мгновенно впитывается, успокаивает и увлажняет раздражённую кожу (особенно в Т-зоне) благодаря специально подобранным ингредиентам, максимально защищают кожу от свободных радикалов. Препарат содержит только натуральные консерванты.;;Израиль;;
;12;Косметика;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;50;;Anna lotan;Barbados;292 900;409 600;;030;;(экстракт жимолости, сок алое, масло зародышей пшеницы, экстракт облепихи, вит. Е и А). Нежный с невесомой структурой гель моментально впитывается, оказывает успокаивающее и охлаждающее действие, идеален для ухода за деликатной кожей смешанного типа . В жаркий сезон подходит всем типам кожи, т. к. прекрасно увлажняет, не оставляя ощущения жирности и липкости.;;Израиль;;
;13;Косметика;Успокаивающий гель на цветочных экстрактах;Calmessence Soothing Fluid Gel;100;12;Anna lotan;Barbados;471 700;659 700;;4030;;(экстракт жимолости, сок алое, масло зародышей пшеницы, экстракт облепихи, вит. Е и А). Нежный с невесомой структурой гель моментально впитывается, оказывает успокаивающее и охлаждающее действие, идеален для ухода за деликатной кожей смешанного типа . В жаркий сезон подходит всем типам кожи, т. к. прекрасно увлажняет, не оставляя ощущения жирности и липкости.;;Израиль;;
;14;Косметика;Увлажняющий крем-мусс;Calming Whipped Cream;75;;Anna lotan;Barbados;292 900;409 600;;792;;(сок листьев алоэ-вера, вит.Е, экстракт жимолости, хрен, стеариновая кислота, аминокислоты, глюконолактон,, масла лаванды и герани).  Обладает выраженным противозудным и антимикробным действием для ухода за чувствительной жирной кожей с себореей. Крем - мусс идеально подходит подросткам, а также мужчинам для использования после бритья.;;Израиль;;
;15;Косметика;Увлажняющий крем-мусс;Calming Whipped Cream;100;14;Anna lotan;Barbados;395 600;553 300;;4792;;(сок листьев алоэ-вера, вит.Е, экстракт жимолости, хрен, стеариновая кислота, аминокислоты, глюконолактон,, масла лаванды и герани).  Обладает выраженным противозудным и антимикробным действием для ухода за чувствительной жирной кожей с себореей. Крем - мусс идеально подходит подросткам, а также мужчинам для использования после бритья.;;Израиль;;
;16;Косметика;Эмульсия для локального нанесения;Barbados Ointment;40;;Anna lotan;Barbados;275 800;385 700;;079;;"(натуральный сок алоэ, экстракты ромашки, литоспермума, пчелиный воск, соли Мертвого моря, салициловая кислота, бисаболол, аллантоин). Дополняет действие увлажняющего крема ""Барбадос"", для локального точечного ухода за деликатной кожей с проблемами (шелушение, покраснение) на Т-участке.";;Израиль;;
;17;Косметика;Маска Барбадос;Barbados Soothing Mask;70;;Anna lotan;Barbados;317 600;444 200;;246;;(экстракт алоэ, облепихи, жимолости, аллантоин).  Нежная маска для чувствительной  себорейной кожи. Смягчает, увлажняет,  успокаивает раздражения и покраснения.;;Израиль;;
;18;Косметика;Солнцезащитный крем с SPF19 для жирной кожи и нормальной кожи;Protective Daily Moisturizer SPF19;70;;Anna lotan;Barbados;209 200;292 600;;068;;(алоэ, метоксициннамат, гамамелис, диоксид титана, гидрогенизированное касторовое масло).  Смягчает кожу, обладает  противовоспалительным и заживляющим действием и обеспечивает защиту на длительное время.;;Израиль;;
;19;Косметика;Крем защитный с SPF20;Barbados Natural Sunscreen Lotion SPF 20;50;;Anna lotan;Barbados;285 300;399 000;;090;;(натуральный сок алоэ, диоксид титана, оксид цинка, масло жожоба, оливы, экстракт жимолости и лиственницы, витамин Е, бисаболол).  Для ежедневного использования для  для чувствительной, склонной к жирности коже.;;Израиль;;
;20;Косметика;Кондиционер для кожи головы;Scalp Soothing Leave-On Conditioner;200;;Anna lotan;Barbados;266 200;372 400;;066;;(витамин Е, экстракт зеленого чая, глюконолактон, пантенол) Не требует смывания.  . Идеально подходит для чувствительной кожи головы, особенно при сухой и жирной себорее. Улучшает структуру волос, укрепляя и улучшая их внешний вид, припятствует спутыванию. Препарат может использоваться самостоятельно ( применение шампуня не обязательно). ;;Израиль;;
;21;Косметика;Жидкое минеральное мыло для жирной  и проблемной кожи;CLEAR Mineral Liquid Soap;200;;Anna lotan;A-CLEAR ;199 700;279 300;;023;;(минералы Мертвого Моря, экстракты ромашки, шалфея, зверобоя, тысячелистника). Прекрасно очищает и смягчает кожу. Рекомендуется для нормальной,  жирной и особенно чувствительной кожи.;;Израиль;;
;22;Косметика;Прополисный лосьон для жирной/проблемной кожи лица;Propolis Lotion;200;;Anna lotan;A-CLEAR ;233 900;327 200;;013;;(прополис, гамамелис, минералы Мертвого моря).   Для жирной, проблемной кожи. Действует на кожу антисептически и регулирует деятельность сальных  желёз, стягивает  поры.  Не содержит спирта.;;Израиль;;
;23;Косметика;"Сыворотка ""Сальвиталь""";Salvital Bio-Peel;125;;Anna lotan;A-CLEAR ;340 400;476 100;;086;;(вода Мертвого моря, масло жожоба, цитрусовый экстракт). Уникальный препарат без консервантов. Обладает антибактериальными свойствами, отшелушивает ороговевшие чешуйки эпидермиса. Размягчает, осветляет комедоны и замедляет их образование при регулярном употреблении (РН 3.5). Может использоваться для тела. ;;Израиль;;
;24;Косметика;"Кристаллический пилинг ""Ананас""";Ananas Crystal Peeling;60;;Anna lotan;A-CLEAR ;292 900;409 600;;096;;(жожоба, минералы Мертвого моря, масло календулы, экстракт ананаса).  Идеально очищает эпидермис от ороговевших чешуек, осветляет комедоны, повышает тонус кожи, стягивает поры, улучшает цвет лица.  Удобен и экономичен в использовании.;;Израиль;;
;25;Косметика;"Крем-гель ""Балансер"" для жирной проблемной кожи";A-Clear  Balancer moisturizing emulsion;70;;Anna lotan;A-CLEAR ;226 300;316 500;;047;;(сок алоэ, экстракт герани, ромашки, гамамелиса, витамин Е).  Используется для увлажнения всех типов кожи, обладает   антиоксидантным действием. Для мужчин рекомендуется как успокаивающий бальзам после бритья. ;;Израиль;;
;26;Косметика;"Маска ""Провит"" для жирной проблемной кожи";Provit Cream Mask;40;;Anna lotan;A-CLEAR ;237 700;332 500;;153;;"Маска ""Провит"" для жирной проблемной кожи/ Provit Cream Mask  (экстракты  облепихи, зеленого чая, спорыш, эфирное масло мирры, шалфея, тимьяна, сок алоэ, каолин, диоксид титана, альпийский мох).  Маска антисептическая, с восстанавливающей и гигиенической функцией для жирной и проблемной кожи.  Можно использовать  локально.";;Израиль;;
;27;Косметика;Растительный подсушивающий лосьон для жирной кожи;Herbal Drying Lotion;30;;Anna lotan;A-CLEAR ;195 900;274 000;;010;;(масло шалфея, аллантоин, гамамелис, экстракт эхинацеи, эфирные масла лаванды, тимьяна, минералы Мертвого моря, оксид железа).  Для локального применения. Обладает сильным антисептическим действием, способствует подсушиванию и заживлению кожи, предотвращает распространение бактерий. Можно использовать под макияж. ;;Израиль;;
;28;Косметика;Растительный подсушивающий лосьон для жирной кожи;Herbal Drying Lotion;30;27;Anna lotan;A-CLEAR ;195 900;274 000;;717;;(масло шалфея, аллантоин, гамамелис, экстракт эхинацеи, эфирные масла лаванды, тимьяна, минералы Мертвого моря, оксид железа).  Для локального применения. Обладает сильным антисептическим действием, способствует подсушиванию и заживлению кожи, предотвращает распространение бактерий. Можно использовать под макияж. ;;Израиль;;
;29;Косметика;Стягивающая маска;Astringent Mud Mask ;60;;Anna lotan;A-CLEAR ;216 800;303 200;;092;;(грязь Мертвого моря, экстракт гамамелиса, эхинацеи, ромашки, масло мяты перечной, цинк, каолин).  Регулирует деятельность сальных желез, обладает стягивающим, заживляющим и бактерицидным действием, применяется при себорейном дерматите, акне.;;Израиль;;
;30;Косметика;Активизирующая маска с натуральной грязью Мёртвого Моря серии Black Silt; Black Pearl Activating Mask with natural Dead Sea mud;90;;Anna lotan;A-CLEAR ;251 000;351 100;;767;;(черная грязь Мертвого моря, сок алоэ, яблочный экстракт, граната, хитозан). Прекрасно удаляет избыток себума и очищает кожу, освежает цвет лица, обладает видимым подтягивающим и разглаживающим эффектом.Подходит для всех типов кожи.;;Израиль;;
;31;Косметика;Очищающая пена;Nano-In Foam Purifying Cleansing;50;;Anna lotan;CLEAR;209 200;292 600;;mal 803;;(протеины пшеницы, минеральная вода Мертвого моря, экстракт камелии, экстракт жимолости,  масло кардамона ,мускатный орех масло, цитрусовые масла, масло пачули ).Нежная очищающая пенка, без ароматизаторов и химических консервантов предназначенна для жирной, проблемной и угреватой кожи. Эффективно очищает, не высушивая кожу. ;;Израиль;;
;32;Косметика;Очищающая пена;Nano-In Foam Purifying Cleansing;150;31;Anna lotan;CLEAR;285 300;399 000;;803;;(протеины пшеницы, минеральная вода Мертвого моря, экстракт камелии, экстракт жимолости,  масло кардамона ,мускатный орех масло, цитрусовые масла, масло пачули ).Нежная очищающая пенка, без ароматизаторов и химических консервантов предназначенна для жирной, проблемной и угреватой кожи. Эффективно очищает, не высушивая кожу. ;;Израиль;;
