Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;107;Косметика;"Масло ""Золотые капли""";Liquid Gold Siberian Seabickthorn Oil;30;;Anna lotan;LIQUID GOLD;420 300;587 900;;123;;"Серум на маслянной основе нежным шёлком ложится на кожу, создавая моментальный эффект обновлённой, гладкой, подтянутой кожи. Изысканные компоненты в составе (маслянный экстракт облепихи, богатый каротинами и витаминами А, Е и др.) насыщают кожу, придавая ей необычайную мягкость и бархатистость, способствуют активизации процессов обновления кожи. Препарат универсален и может использоваться в сочетании с другими косметическими препаратами ( в соответствии с типом кожи).  Сочетание растительных экстрактов с комплексом витаминов создает уникальный эффект обновленной и шелковистой кожи. Препарат не содержит воды, легко и быстро впитывается, не оставляя жирного блеска. Идеален под декоративную косметику, под солнцезащитные средства, также как средство для ночного ухода. Сочетается с любыми основами для массажа. Великолепно смешивается с пудрой ""Камуфляж"" для водоустойчивого макияжа.";;Израиль;;
;108;Косметика;"Сыворотка ""Золотой шелк""";Golden Silk Facial Serum;50;;Anna lotan;LIQUID GOLD;521 100;728 800;;768;;"Богатый активными увлажнителями и изысканными маслами, серум насыщает кожу влагой и энергией, смягчает и разглаживает ее, придавая необычайную шелковистость и гладкость. Содержит растительные экстракты, успокаивающие кожу (алоэ-вера, бисаболол, жимолость); белок из натуральных шелковых волокон, разглаживающий кожу и придающий ей шелковистость; масла, смягчающие кожу (облепихи, жожоба, зародышей пшеницы, масло ши, оливковое); витамины (А, B5, C, E), противодействующие свободным радикалам. Серум применяется как самостоятельный препарат или под дневной \ ночной крем, идеален как основа под макияж.";;Израиль;;
;109;Косметика;Крем-гель с маслом облепихи сибирской;Liquid Gold Cream Gel;60;;Anna lotan;LIQUID GOLD;315 700;441 600;;146;; Лёгкая эмульсия для ухода за кожей лица. Поддерживает оптимальный баланс влаги на поверхности кожи. Включает в себя натуральные активные ингредиенты: масла - облепиховое, жожоба, ростков пшеницы и витамины (A, E, B5). Крем-гель моментально впитывается, увлажняет и смягчает кожу, эффективно предотвращает сухость и оставляет приятное ощущение комфорта и свежести.  Используется как дневное, так и ночное средство ухода.;;Израиль;;
;110;Косметика;"Крем дневной ""Золотой"" с маслом облепихи сибирской";Golden Day Cream;60;;Anna lotan;LIQUID GOLD;315 700;441 600;;218;;Лёгкий дневной крем, эффективно предотвращает сухость кожи и повышает её эластичность. Нежно ухаживает за деликатной, нормальной и склонной к сухости кожей, быстро впитывается, не оставляет жирного блеска. Масла жожоба, облепиховое, пчелиный воск, витамины и множество других натуральных ингредиентов препарата, увлажняют, смягчают и освежают кожу, придавая ей необыкновенную гладкость и шелковистость.   Оказывает сильное антиоксидантное действие, нормализует влажность кожи и внутрикожный обмен веществ, стимулирует процессы регенерации. Питает, смягчает и обогащает тонкую кожу.;;Израиль;;
;111;Косметика;"Крем дневной ""Золотой"" с маслом облепихи сибирской";Golden Day Cream;250;111;Anna lotan;LIQUID GOLD;640 900;896 400;;4218;;Лёгкий дневной крем, эффективно предотвращает сухость кожи и повышает её эластичность. Нежно ухаживает за деликатной, нормальной и склонной к сухости кожей, быстро впитывается, не оставляет жирного блеска. Масла жожоба, облепиховое, пчелиный воск, витамины и множество других натуральных ингредиентов препарата, увлажняют, смягчают и освежают кожу, придавая ей необыкновенную гладкость и шелковистость.   Оказывает сильное антиоксидантное действие, нормализует влажность кожи и внутрикожный обмен веществ, стимулирует процессы регенерации. Питает, смягчает и обогащает тонкую кожу.;;Израиль;;
;112;Косметика;"Крем ночной ""Золотой"" с маслом облепихи сибирской";Golden Night Cream;50;;Anna lotan;LIQUID GOLD;420 300;587 900;;149;;Бархатистый  крем, содержащий натуральные воски, растительные стеролы, масла облепихи,  жожоба, бабассу, витамин Е. Насыщает кожу питательными веществами и влагой, смягчает и разглаживает морщины, придаёт коже свежий, отдохнувший вид. ;;Израиль;;
;113;Косметика;"Крем ночной ""Золотой"" с маслом облепихи сибирской";Golden Night Cream;250;113;Anna lotan;LIQUID GOLD;1 040 300;1 455 000;;4149;;Бархатистый  крем, содержащий натуральные воски, растительные стеролы, масла облепихи,  жожоба, бабассу, витамин Е. Насыщает кожу питательными веществами и влагой, смягчает и разглаживает морщины, придаёт коже свежий, отдохнувший вид. ;;Израиль;;
;114;Косметика;"Крем для кожи вокруг глаз ""Золотое масло"" с маслом облепихи сибирской";Solid Gold;30;;Anna lotan;LIQUID GOLD;421 100;589 000;;142;;Для век и шеи. Для ухода за очень сухой чувствительной кожей век и шеи. Предупреждает возникновение морщин, обогащает кожу недостающими жирными компонентами и оберегает ее от высушивания. Натуральный препарат, не содержащий эмульгаторов и консервантов, состоит исключительно из природных ингредиентов (масла бабассу, облепихи, пчелиный воск, корень моркови). Смягчает, питает, успокаивает кожу,  придаёт ей бархатистый вид. Этот уникальный липогель при нанесении на кожу под воздействием тепла превращается в нежное шелковистое масло.;;Израиль;;
;115;Косметика;"Крем ""Грино-Голд"" с маслом облепихи сибирской";Greeno-Gold Wrinkle Relaxing Balm;15;;Anna lotan;LIQUID GOLD;382 300;534 700;;789;;Инновационная формула нежного крема с золотистыми светоотражающими частицами, расслабляет и разглаживает мимические морщины. Рекомендован женщинам с сухой кожей, склонной к образованию морщин, ожидающим от крема немедленного заметного эффекта. Наносится на сухие участки кожи вокруг глаз и губ. Крем используется под макияж. А нанесенный поверх тонального крема \ пудры, придаст коже блеск и сделает морщинки менее заметными.;;Израиль;;
;116;Косметика;"Маска ""Золотая"" с маслом облепихи сибирской";Golden Facial Mask;60;;Anna lotan;LIQUID GOLD;285 300;399 000;;062;;Мягкая кремообразная маска для сухой кожи, содержащая облепиховое масло, витамины и антиоксиданты. Маска противодействует негативному влиянию свободных радикалов, увлажняет, питает, обогащает и освежает  кожу.  Содержит масла облепихи,  жожоба, бабассу, а также сок алоэ, увлажнители, витамины и аминокислоты. Придаёт коже гладкость и бархатистость уже после первого применения.;;Израиль;;
;117;Косметика;"Крем дневной с маслом облепихи сибирской ""Тройной эффект"" для всех типов кожи SPF30+";Triple Benefit Tinted Moisturizing Day Cream SPF30+;100;;Anna lotan;LIQUID GOLD;315 700;441 600;;152;;"Эффективный солнцезащитный крем, обладает всеми свойствами ""Золотого"" увлажняющего крема и предназначен для защиты светлой, чувствительной к солнцу кожи. Питает, увлажняет и надёжно защищает  кожу от вредных солнечных излучений UBA+UVA. Содержит: масло облепихи, зеленый чай. Легко наносится, быстро впитывается, увлажняет и смягчает кожу, придавая ей ровный оттенок, естественный и гладкий вид.  Обладает  свойствами легкого тонального крема.";;Израиль;;
;118;Косметика;Liguid Gold Интенсивная маска для волос;Liguid Gold Intensiv Hair Mask;200;;Anna lotan;LIQUID GOLD;186 400;260 700;;769;;"Маска для оптимального ухода за сухими, ломкими, ""непослушными"" волосами. Повышает эластичность, придает волосам мягкость, шелковистость и здоровый блеск. Идеально подходит для использования после процедур химической завивки,выпрямления и окраски, способствует восстановлению природной структуры волос, предотвращая появления секущихся кончиков.";;Израиль;;
;119;Косметика;Влажные косметические салфетки для снятия макияжа;Liquid Gold Cosmetic Wipe with Liquid Makeup Remover;36 шт. в упаковке;;Anna lotan;LIQUID GOLD;207 300;289 900;;5400;;Содержат гидролизированный коллаген, пантенол, растительные экстракты облепихи, алтея, огурца и ромашки. Незаменимое средство очищения в дороге. Могут использоваться для деликатных участков.;;Израиль;;
;120;Косметика;Средство для снятия макияжа для глаз с маслом жожоба;Eyesoclear eye makeup remover;40;;Anna lotan;EYE AND LIPS CARE  ;203 500;284 600;;098;;Безводный очиститель на основе масла  жожоба, для очищения век и губ от декоративной косметики. Применим даже при очень чувствительной коже. Эффективно очищает, питает кожу, оказывает антиоксидантный эффект. Очень экономичен.;;Израиль;;
;121;Косметика;Контурный гель для кожи вокруг глаз;Eye Contour Gel;30;;Anna lotan;EYE AND LIPS CARE  ;284 900;398 400;;048;;Нежный гель, обладающий ярковыраженным эффектом, смягчает и увлажняет чувствительную кожу век, разглаживает мелкие морщинки, оказывает антиоксидантное, успокаивающее и тонизирующее действие. Содержит комплекс аминокислот и полисахаридов, экстракт мальвы, зеленого чая, сентеллы азиатской. Создает приятное комфортное ощущение.  ;;Израиль;;
;122;Косметика;Контурный гель для кожи вокруг глаз;Eye Contour Gel;100;122;Anna lotan;EYE AND LIPS CARE  ;454 500;635 700;;4048;;Нежный гель, обладающий ярковыраженным эффектом, смягчает и увлажняет чувствительную кожу век, разглаживает мелкие морщинки, оказывает антиоксидантное, успокаивающее и тонизирующее действие. Содержит комплекс аминокислот и полисахаридов, экстракт мальвы, зеленого чая, сентеллы азиатской. Создает приятное комфортное ощущение.  ;;Израиль;;
;123;Косметика;Гель для век с лифтинг эффектом; Lifting Eye Contour Fluid;15;;Anna lotan;EYE AND LIPS CARE  ;509 700;712 900;;211;;Для интенсивного увлажнения и разглаживания морщин, оказывает укрепляющее действие.  Содержит экстракты камелии, мальвы, сентеллы, аминокислоты.;;Израиль;;
;124;Косметика;"Нежный крем для кожи вокруг глаз ""Delicate Replenisher""";Delicate Replenisher for eye contour;30;;Anna lotan;EYE AND LIPS CARE  ;336 600;470 800;;145;;Обогащает кожу естественными активными ингредиентами (экстракт зеленого чая, масла - кунжутное, бабассу, ростков пшеницы, витамин А, токоферол). Предотвращает сухость, разглаживает морщины, восстанавливает упругость кожи.;;Израиль;;
;125;Косметика;Крем-основа для век и шеи;Under Make Up Eye & Neck Cream;40;;Anna lotan;EYE AND LIPS CARE  ;272 000;380 400;;071;;Нежный крем для век, служит идеальной основой под макияж. Содержит микронизированную пудру, которая заполняет морщинки, фиксирует наносимый макияж, увлажняет, защищает и питает кожу. Содержит масло бабассу, гиалуроновую кислоту, литоспермум, витамин Е. Можно использовать для всех участков лица и шеи.;;Израиль;;
;126;Косметика;Бальзам для губ;Plumping Lip Balm;15;;Anna lotan;EYE AND LIPS CARE  ;249 200;348 500;;074;;Предназначен для интенсивной терапии губ, эффективно смягчает и увлажняет губы, содержит олиго-пептид MAXI-LIP ™. Смягчающие масла в сочетании с минералами Мертвого моря придают коже здоровый вид более чётко определяя контур губ, витамины Е и С усиливают защиту нежной кожи губ. Отсутствие химических консервантов позволяет сохранить красоту губ естественно.;;Израиль;;
;127;Косметика;Гель основа Колагель;Collagel;250;;Anna lotan;;195 900;274 000;;4040;;Охлаждает и гидрирует кожу. Может использоваться  в паре  с гидрофильным маслом   для очищения всех типов кожи.;;Израиль;;
;128;Косметика;Гель основа Колагель;Collagel;600;128;Anna lotan;;340 400;476 100;;7040;;Охлаждает и гидрирует кожу. Может использоваться  в паре  с гидрофильным маслом   для очищения всех типов кожи.;;Израиль;;
;129;Косметика;Натуральный алоэ-вера гель;Pure Soothing Aloe Vera Natural Gel;50;;Anna lotan;;131 200;183 500;;042;;Натуральный  гель алоэ с добавлением герани и аллантоина. Для всех типов кожи. Гидрирует и успокаивает кожу. Оказывает  противовоспалительное, заживляющее и рассасывающее действие. Отбеливает комедоны и пигментные пятна.;;Израиль;;
;130;Косметика;Натуральный алоэ-вера гель;Pure Soothing Aloe Vera Natural Gel;125;130;Anna lotan;;213 000;297 900;;1042;;Натуральный  гель алоэ с добавлением герани и аллантоина. Для всех типов кожи. Гидрирует и успокаивает кожу. Оказывает  противовоспалительное, заживляющее и рассасывающее действие. Отбеливает комедоны и пигментные пятна.;;Израиль;;
;131;Косметика;Гидрирующая маска;"Hydrator Intensive Quenching Mask линии ""CLEAR""";70;;Anna lotan;;135 100;188 900;;807;;Только 100% натуральные активные ингредиенты и консерванты используются для глубокого очищения пор жирной и угреватой кожи. Интенсивно увлажняет кожу с одновременным устранением покраснения, успокаивает благодаря экстрактам Мальвы, зеленого чая и алоэ вера. ;;Израиль;;
;132;Косметика;Гель алоэ-вера;Greens Preserved Aloe Pure Gel;50;;Anna lotan;;142 600;199 500;;410;;"Гель идеально успокаивает покраснения кожи вызванное себореей, солнечной инсоляцией. Является наилучшим дополнением для проведения процедуры био-пилинга с препаратом-эксфолиантом ""Scalex"".   ";;Израиль;;
;133;Косметика;Кальмогель;CalmaGel Sooting Topical Gel;500;;Anna lotan;;395 600;553 300;;764;;Для охлаждения и успокоения кожи после активных косметических процедур (Зеленый морской пилинг), а также лазеротерапии и фототерапии. Содержит компоненты, эффективно успокаивающие раздраженную, покрасневшую кожу. Оказывает охлаждающее действие, устраняет дискомфорт, возникший в результате активных процедур. Применяется совместно c Эко-пас.;;Израиль;;
;134;Косметика;Гель Эхинацея;Echinacea Gel;100;;Anna lotan;;216 800;303 200;;1089;;Нежный гель содержит натуральный сок эхинацеи, активизирует функциональные клетки дермы (фибробла-сты), способствуя выработке гиалуроновой кислоты, что существенно улучшает показатели тургора кожи. Гель обладает способностью ослаблять межклеточные связи на поверхности эпидермиса (эффект «пассивного пилинга»).;;Израиль;;
;135;Косметика;Гель Эхинацея;Echinacea Gel;400;;Anna lotan;;523 000;731 500;;089;;Нежный гель содержит натуральный сок эхинацеи, активизирует функциональные клетки дермы (фибробла-сты), способствуя выработке гиалуроновой кислоты, что существенно улучшает показатели тургора кожи. Гель обладает способностью ослаблять межклеточные связи на поверхности эпидермиса (эффект «пассивного пилинга»).;;Израиль;;
;136;Косметика;Профессиональный демакияж;Professional Make-Up Remover >99% Natural;100;;Anna lotan;;237 700;332 500;;191;;Обогащенное средство для снятия макияжа мгновенно растворяет макияж, в том числе и водоустойчивый.  Легко смывается  водой, оставляя кожу мягкой  и тщательно очищенную.;;Израиль;;
;137;Косметика;Пудра с прополисом для жирной кожи Propolis Propowder;Propolis PROPOWDER;30;;Anna lotan;;131 200;183 500;;008;;Антисептическая пудра с прополисом.  Препятствует распространению бактерий и воспалений. Не сушит кожу.  Применяется  при глубокой чистке, при лечении акнэ, для щипкового массажа жирной кожи. Содержит прополис, алоэ, серу, аллантоин.;;Израиль;;
;138;Косметика;"Маска для лица ""ТерраМад"": Апельсин";Terramud Mask-Arancia;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;341;;Предлагая богатую палитру неповторимых ощущений СПА-процедуры и вдохновляя на индивидуальное творчество, делает кожу удивительно гладкой и ровной, придавая ей здоровый и свежий оттенок.;;Израиль;;
;139;Косметика;"Маска для лица ""ТерраМад"": Шоколад";Terramud Mask-Cioccolato;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;342;; Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;140;Косметика;"Маска для лица ""ТерраМад"": Кофе";TerraMud Mask: Caffe;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;343;; Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;141;Косметика;"Маска для лица ""ТерраМад"": Лесная ягода";Terramud Mask-Frutta di Bosco;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;344;; Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;142;Косметика;"Маска для лица ""ТерраМад"": Тирамису";Terramud Mask-Tiramisu;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;345;;Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;143;Косметика;"Маска для лица ""ТерраМад"": Лимончелло";Terramud Mask-Limoncello;70;;Anna lotan;TERRA MUD MASK;342 300;478 800;;346;;Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;144;Косметика;"Маска для лица ""ТерраМад"""; LIQUIRIZIA;150;;Anna lotan;TERRA MUD MASK;494 500;691 600;;347;;Природные глины, обеспечивающие каждой маске богатую цветовую гамму, не окрашивают кожу, оставляют ее прохладной и максимально насыщенной влагой. Система масок идеально подходит для выполнения техники по типу «gommage».;;Израиль;;
;145;Косметика;"Сыворотка успокаивающая ""Редлесс""";Redless Calming Treatment Natural 99%;8x4,2;;Anna lotan;;370 900;518 700;;330set;;Для чувствительной кожи или кожи с куперозом.;;Израиль;;
;146;Косметика;"Эссенция ""Клир-Контроль"" для жирной/проблемной кожи";"CONTROL 100% Natural линии ""CLEAR""";8x4,2;;Anna lotan;;481 200;673 000;;331set;;Для кожи склонной к воспалениям.;;Израиль;;
;147;Косметика;"Эмульсия ""Анти Рид"" для сухой кожи";Anti Rides;8x4,2;;Anna lotan;;422 200;590 500;;332set;;Интенсивный уход для сухой, обезвоженой кожи с возрастными изменениями.;;Израиль;;
;148;Косметика;Осветляющий комплекс; Lightening Complex 99% Natural;8x4,2;;Anna lotan;;422 200;590 500;;333set;;Концентрированный комплекс для кожи, склонной к гиперпигментации. ;;Израиль;;
;149;Косметика;Бальзам для Т-зоны;T-Zone Balm 100% Natural;8x4,2;;Anna lotan;;422 200;590 500;;334set;;Для жирной кожи.;;Израиль;;
;150;Косметика;Обновляющая сыворотка для сухой кожи;Regenerant Natural Oil Supplement;8x4,2;;Anna lotan;;481 200;673 000;;335set;;Эксклюзивное натуральное масло для сухой кожи. ;;Израиль;;
;151;Косметика;Подтягивающая сыворотка;Lifting Fluid Instant Toning;8x4,2;;Anna lotan;;370 900;518 700;;336set;;Концентрированная лифтинг-сыворотка для всех типов кожи.;;Израиль;;
;152;Косметика;"Увлажняющая сыворотка ""Фреш""";Fresh Moisturizing Complex 100% Natural;8x4,2;;Anna lotan;;370 900;518 700;;337set;;Для всех типов кожи.;;Израиль;;
;153;Косметика;Набор из 8 сывороток;Skin Supplements;8x4,2;;Anna lotan;;422 200;590 500;;8set;;;;Израиль;;
;154;Косметика;Капсулы с Ретинолом;Retinol Capsules;80;;Anna lotan;;1 211 500;1 694 400;;4903;;Их использование значительно уменьшает морщины и пигментные пятна - видимые признаки старения и повреждения кожи. Улучшает текстуру кожи, её внешний вид, повышает содержание влаги, ускоряет клеточное обновление и сглаживает пористость.;;Израиль;;
;155;Косметика;Жидкое мыло для интимных участков тела;Liquid Gold Intimate Foam Wash Intimild;200;;Anna lotan;BODY CARE;142 500;339 200;;135;;На основе особенно деликатных очищающих средств с кислым pH, содержащее экстракт облепихи и пантенол. Специальный диспенсер преобразует жидкое мыло в нежнейший мусс, способствующий щадящему очищению всех участков тела. Применим даже для маленьких детей.;;Израиль;;
;156;Косметика;Минеральный скраб для тела;Dead Sea Mineral Body Scrub With Cayenne;625;;Anna lotan;BODY CARE;745 500;1 042 700;;7272;;Натуральный активный скраб подходит для обработки всего тела. Минералы Мертвого моря обеспечивают великолепное отшелушивание, в результате чего удаляются ороговевшие чешуйки и улучшается структура кожи. Скраб предназначен также для участков кожи, подверженных образованию целлюлита. Содержит: морскую соль, стручковый красный перец, экстракт листьев шалфея, цитрусовый экстракт.;;Израиль;;
;157;Косметика;Лосьон для тела с маслом облепихи сибирской серии Liquid Gold;Liquid Gold Body Lotion;200;;Anna lotan;BODY CARE;209 200;292 600;;126;;Нежный бархатистый лосьон с облепиховым маслом. Легко наносится и быстро впитывается. В препарате отсутствуют поверхностноактивные вещества, благодаря этому влага длительно удерживается на поверхности кожи, оставляя ощущение свежести и комфорта. Богатый букет природных компонентов (масла жожоба и облепихи, экстракты дикой сои, барбариса,  литоспермум, вит. Е и др.) великолепно увлажняет, успокаивает и разглаживает сухую, шелушащуюся и раздражённую кожу. Лосьон защищает кожу от воздействия свободных радикалов. Наносится после душа на чистую кожу.;;Израиль;;
;158;Косметика;Лосьон для тела с маслом облепихи сибирской серии Liquid Gold;Liquid Gold Body Lotion;625;158;Anna lotan;BODY CARE;357 400;499 800;;7126;;Нежный бархатистый лосьон с облепиховым маслом. Легко наносится и быстро впитывается. В препарате отсутствуют поверхностноактивные вещества, благодаря этому влага длительно удерживается на поверхности кожи, оставляя ощущение свежести и комфорта. Богатый букет природных компонентов (масла жожоба и облепихи, экстракты дикой сои, барбариса,  литоспермум, вит. Е и др.) великолепно увлажняет, успокаивает и разглаживает сухую, шелушащуюся и раздражённую кожу. Лосьон защищает кожу от воздействия свободных радикалов. Наносится после душа на чистую кожу.;;Израиль;;
;159;Косметика;"Крем для тела линии ""GREENS""";Naturally Preserved Body Cream;150;;Anna lotan;BODY CARE;195 900;274 000;;415;;Идеальное средство для ежедневного ухода за сухой зрелой кожей тела. Легко наносится, мгновенно впитывается, оставляя кожу мягкой и бархатистой. Препарат состоит только из натуральных компонентов: масло семян жожоба, экстракты жимолости, цветков ромашки, календулы, прекрасно успокаивающих и питающих кожу. Действие крема усилено активным пептидом Матриксил 3000, который превосходно подтягивает кожу, делая её гладкой и упругой.      ;;Израиль;;
;160;Косметика;"Крем для тела линии ""GREENS""";Naturally Preserved Body Cream;400;160;Anna lotan;BODY CARE;355 600;497 400;;4415;;Идеальное средство для ежедневного ухода за сухой зрелой кожей тела. Легко наносится, мгновенно впитывается, оставляя кожу мягкой и бархатистой. Препарат состоит только из натуральных компонентов: масло семян жожоба, экстракты жимолости, цветков ромашки, календулы, прекрасно успокаивающих и питающих кожу. Действие крема усилено активным пептидом Матриксил 3000, который превосходно подтягивает кожу, делая её гладкой и упругой.      ;;Израиль;;
;161;Косметика;Нежный крем для тела для всех типов кожи;Classic  Pampering Body Butter;150;;Anna lotan;BODY CARE;218 700;305 900;;324;;Роскошный маслянистый крем прекрасно  успокаивает и длительно увлажняет кожу, благодаря входящим в состав  натуральному соку алоэ, аминокислотам и минералам.  Мгновенно восстановить  липидный барьер позволяют натуральные масла моркови с провитамином А облепихи и витамин Е, что особенно важно в осенне-зимний сезон. Также витамин Е в составе формулы защищает натуральные ингредиенты от окисления. Приятный красноватый оттенок  придает крему  экстракт корня  воробейника (Gromwell), обладающий  успокаивающим эффектом. Препарат отлично впитывается и не оставляет на коже ощущения жирности.;;Израиль;;
;162;Косметика;"Лосьон с SPF30 ""Парасоль""";Parasol Sunscreen Lotion SPF 30;100;;Anna lotan;BODY CARE;253 000;353 800;;237;;Солнцезащитная водоустойчивая эмульсия для эффективной защиты  кожи от  вредного солнечного излучения. Увлажняет и смягчает кожу, придавая ей бархатистый вид. Быстро впитывается. Содержит экстракты алоэ, зеленого чая, витамин Е, соли Мертвого моря.;;Израиль;;
;163;Косметика;Крем для рук с минералами Мёртвого моря;Hand Cream With Dead Sea Minerals;100;;Anna lotan;BODY CARE;138 900;194 200;;150;;Предотвращает сухость, трещины, шероховатость кожи. Рецептура крема направлена на повышение регенеративных процессов и поддержание барьерных функций кожи. Соли Мёртвого моря активно включаются в минеральный обмен кожи и ногтевых пластинок, очищают поверхность кожи от ороговевших чешуек, повышают влажность кожи, усиливают кровообращение, обладают сильным антисептическим воздействием. Экстракты водорослей интенсивно увлажняют поверхностные слои эпидермиса и насыщают их микроэлементами, экстракт спорыша, масло календулы и аллантоин способствуют заживлению мелких трещин. Диметикон обеспечивает защиту кожи от повреждающих химических и физических факторов на длительное время. Не оставляет ощущения липкости, жирности. Легко впитывается и разглаживает кожу рук. Регулярное применение этого крема сохраняет кожу рук в идеальном состоянии в любое время года.;;Израиль;;
;164;Косметика;Антиперспирант крем;Antiperspirant Cream;50;;Anna lotan;BODY CARE;242 500;339 200;;088;;Великолепно предотвращает появление нежелательных запахов тела. Содержание экологического дезодоранта фарнезола и масла розового дерева позволяет эффективно устранять запахи, не нарушая физиологию кожи. Не оставляет следов на одежде. Концентрирован, экономичен в употреблении.  Рекомендуется использовать раз в 1-3 дня. Не теряет своих свойств после душа или ванны. Не применять сразу после депиляции, а лишь спустя несколько часов!;;Израиль;;
;165;Косметика;Дезодорант;Deodorant Fluid;100;;Anna lotan;BODY CARE;161 700;226 100;;747;;Содержит натуральный сок алоэ вера и минералы Мертвого  моря. Быстро впитывается, предотвращает появление неприятного запаха, не оставляет следов на одежде. Подходит для занятий активными видами спорта.;;Израиль;;
;166;Косметика;"Гель после депиляции ""Аромагель"""; After Depilation Aromagel;200;;Anna lotan;BODY CARE;243 500;340 500;;4106;;"Гель для ухода за кожей и очищения её после депиляции. Оказывает антибактериальное, противогрибковое и тонизирующее действие. Богат эфирными маслами, быстро проникающими в фолликулы волос и тормозящие рост новых волос. Рекомендуется в сочетании с кремом Прога. Предупреждает врастание волос. Имеет великолепный запах, его свойства обусловлены богатым натуральным составом: гель алоэ, бисаболол, масла лаванды, герани, базилика, иланг-иланга, шалфея, розмарина, лимона, чайного дерева; укроп аптечный, камфора и др.";;Израиль;;
;167;Косметика;Био минеральный скраб;Bio Mineral Scrub;200;;Anna lotan;BODY CARE;319 500;446 900;;4458;;Препарат на натуральной основе эффективно очищает кожу, отшелушивая мертвые клетки эпидермиса, способствуя процессам обновления. Во время процедуры полностью расстворяется, оставляет ощущение гладкого шелка, чистоты и свежести.;;Израиль;;
;168;Косметика;Бальзам для ног;Mineral Foot Balsam;100;;Anna lotan;BODY CARE;209 200;292 600;;060;;Ароматическая формула бальзама (экстракт алоэ, спорыша, прополиса, ромашки, мирры, масла: жожоба, сандалового дерева, соли Мёртвого моря, аллантоин) с выраженными функциями смягчения. Натуральные экстракты и ароматические бальзамы дезодорируют, улучшают гигиеническое состояние ног. Заживляет трещины, хорошо впитывается. Крем защищает кожу от воздействий внешней среды. Оказывает  успокаивающее, антисептическое, противогрибковое действие.;;Израиль;;
